,GO_term,pfam_id,GO_id,GO_level,count,GO_idx
161,G protein-coupled receptor activity,PF00001,GO:0004930,function,11,0
54,ATP hydrolysis activity,PF00004,GO:0016887,function,15,1
52,ATP binding,PF00006,GO:0005524,function,178,2
174,GTPase activity,PF00009,GO:0003924,function,10,3
1634,protein dimerization activity,PF00010,GO:0046983,function,22,4
62,ATP-dependent protein folding chaperone,PF00012,GO:0140662,function,2,5
247,RNA binding,PF00013,GO:0003723,function,118,6
1914,serine-type endopeptidase inhibitor activity,PF00014,GO:0004867,function,11,7
1931,signal transduction,PF00015,GO:0007165,process,34,8
1889,ribulose-bisphosphate carboxylase activity,PF00016,GO:0016984,function,2,9
1629,protein binding,PF00018,GO:0005515,function,122,10
922,growth factor activity,PF00019,GO:0008083,function,17,11
960,homophilic cell adhesion via plasma membrane adhesion molecules,PF00028,GO:0007156,process,2,12
687,cysteine-type endopeptidase inhibitor activity,PF00031,GO:0004869,function,3,13
769,electron transfer activity,PF00032,GO:0009055,function,20,14
516,calcium ion binding,PF00036,GO:0005509,function,34,15
826,extracellular region,PF00039,GO:0005576,component,203,16
929,heme binding,PF00042,GO:0020037,function,26,17
222,NAD binding,PF00044,GO:0051287,function,13,18
99,DNA binding,PF00046,GO:0003677,function,320,19
607,chemokine activity,PF00048,GO:0008009,function,1,20
961,hormone activity,PF00049,GO:0005179,function,28,21
1398,oxidoreductase activity,PF00056,GO:0016491,function,68,22
1074,ligand-gated monoatomic ion channel activity,PF00060,GO:0015276,function,2,23
1267,myosin complex,PF00063,GO:0016459,component,4,24
812,exo-alpha-sialidase activity,PF00064,GO:0004308,function,2,25
1407,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",PF00067,GO:0016705,function,2,26
1506,phospholipid metabolic process,PF00068,GO:0006644,process,2,27
1656,protein kinase activity,PF00069,GO:0004672,function,6,28
1511,phosphorelay signal transduction system,PF00072,GO:0000160,process,16,29
1995,structural molecule activity,PF00073,GO:0005198,function,90,30
271,RNA-DNA hybrid ribonuclease activity,PF00075,GO:0004523,function,5,31
2001,superoxide metabolic process,PF00080,GO:0006801,process,3,32
1916,serine-type peptidase activity,PF00082,GO:0008236,function,7,33
2111,transmembrane transporter activity,PF00083,GO:0022857,function,25,34
1913,serine-type endopeptidase activity,PF00089,GO:0004252,function,29,35
171,GTP binding,PF00091,GO:0005525,function,26,36
1437,peptidase inhibitor activity,PF00095,GO:0030414,function,3,37
1156,metal ion binding,PF00097,GO:0046872,function,48,38
1346,nucleic acid binding,PF00098,GO:0003676,function,32,39
1632,protein dephosphorylation,PF00102,GO:0006470,process,3,40
1908,sequence-specific DNA binding,PF00105,GO:0043565,function,17,41
375,"acyltransferase activity, transferring groups other than amino-acyl groups",PF00108,GO:0016747,function,13,42
331,Wnt signaling pathway,PF00110,GO:0016055,process,7,43
1050,iron-sulfur cluster binding,PF00111,GO:0051536,function,15,44
690,cysteine-type peptidase activity,PF00112,GO:0008234,function,9,45
1537,pilus,PF00114,GO:0009289,component,8,46
387,aerobic respiration,PF00115,GO:0009060,process,1,47
698,cytochrome-c oxidase activity,PF00116,GO:0004129,function,3,48
1717,"proton-transporting ATP synthase complex, coupling factor F(o)",PF00119,GO:0045263,component,4,49
896,glutamine synthetase activity,PF00120,GO:0004356,function,4,50
2120,triose-phosphate isomerase activity,PF00121,GO:0004807,function,1,51
1525,photosynthetic electron transport in photosystem II,PF00124,GO:0009772,process,1,52
138,DNA-binding transcription factor activity,PF00126,GO:0003700,function,60,53
667,copper ion binding,PF00127,GO:0005507,function,17,54
532,carbohydrate metabolic process,PF00128,GO:0005975,process,70,55
2018,tRNA aminoacylation for protein translation,PF00133,GO:0006418,process,10,56
1365,nucleotide binding,PF00136,GO:0000166,function,30,57
1722,"proton-transporting two-sector ATPase complex, proton-transporting domain",PF00137,GO:0033177,component,1,58
528,carbohydrate binding,PF00139,GO:0030246,function,20,59
1924,sigma factor activity,PF00140,GO:0016987,function,5,60
1855,response to oxidative stress,PF00141,GO:0006979,process,3,61
701,cytokine receptor binding,PF00143,GO:0005126,function,2,62
1178,methyltransferase activity,PF00145,GO:0008168,function,37,63
1151,membrane,PF00146,GO:0016020,component,541,64
980,hydrolase activity,PF00149,GO:0016787,function,35,65
1389,organic substance metabolic process,PF00150,GO:0071704,process,2,66
1079,lipase activity,PF00151,GO:0016298,function,3,67
1729,pyridoxal phosphate binding,PF00155,GO:0030170,function,7,68
2085,transcription factor binding,PF00158,GO:0008134,function,5,69
1662,protein peptidyl-prolyl isomerization,PF00160,GO:0000413,process,1,70
1746,rRNA N-glycosylase activity,PF00161,GO:0030598,function,1,71
1497,phosphoglycerate kinase activity,PF00162,GO:0004618,function,1,72
1748,rRNA binding,PF00163,GO:0019843,function,6,73
1885,ribosome,PF00164,GO:0005840,component,86,74
1638,protein folding chaperone,PF00166,GO:0044183,function,3,75
139,"DNA-binding transcription factor activity, RNA polymerase II-specific",PF00172,GO:0000981,function,2,76
59,ATP-dependent chromatin remodeler activity,PF00176,GO:0140658,function,1,77
614,chitinase activity,PF00182,GO:0004568,function,2,78
1303,neurohypophyseal hormone activity,PF00184,GO:0005185,function,2,79
412,amino acid binding,PF00185,GO:0016597,function,1,80
2043,tetrahydrofolate biosynthetic process,PF00186,GO:0046654,process,1,81
610,chitin binding,PF00187,GO:0008061,function,4,82
2099,translation,PF00189,GO:0006412,process,91,83
522,calcium-dependent phospholipid binding,PF00191,GO:0005544,function,1,84
977,hyaluronic acid binding,PF00193,GO:0005540,function,1,85
1771,regulation of DNA-templated transcription,PF00196,GO:0006355,process,182,86
782,endopeptidase inhibitor activity,PF00197,GO:0004866,function,5,87
373,acyltransferase activity,PF00198,GO:0016746,function,9,88
550,catalase activity,PF00199,GO:0004096,function,1,89
326,UDP-glycosyltransferase activity,PF00201,GO:0008194,function,1,90
2071,transaminase activity,PF00202,GO:0008483,function,1,91
131,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity",PF00204,GO:0003918,function,4,92
